step,latency_ms,short_status,long_status
1,1301.2422060000972,Decode,Inactive
2,669.5409310000286,Decode,Inactive
3,39.126891000023534,Decode,Inactive
4,311.2846430001355,Decode,Chunking
5,58.01195899994127,Decode,Chunking
6,58.65286999983255,Decode,Chunking
7,59.80350400000134,Decode,Chunking
8,66.99771399985366,Decode,Chunking
9,61.92612599988934,Decode,Chunking
10,43.069537000064884,Decode,Chunking
11,41.80063700005121,Decode,Chunking
12,40.77918600000885,Decode,Chunking
13,40.01061400003891,Decode,Chunking
14,41.067511999926865,Decode,Chunking
15,41.731199999958335,Decode,Chunking
16,41.443273999902885,Decode,Chunking
17,43.16838799991274,Decode,Chunking
18,40.834313999994265,Decode,Chunking
19,48.49717000001874,Decode,Chunking
20,40.92767300016931,Decode,Chunking
21,40.09719999999106,Decode,Chunking
22,54.83383099999628,Decode,Chunking
23,55.50478500003919,Decode,Chunking
24,54.980101999944964,Decode,Chunking
25,42.08397000002151,Decode,Chunking
26,41.72154799994132,Decode,Chunking
27,41.187028999956965,Decode,Chunking
28,40.3179889999592,Decode,Chunking
29,43.19234900003721,Decode,Chunking
30,42.1056759998919,Decode,Chunking
31,42.759134000107224,Decode,Chunking
32,52.04949299991313,Decode,Chunking
33,49.44187899991448,Decode,Chunking
34,44.986555999912525,Decode,Chunking
35,46.84440800019729,Decode,Chunking
36,46.59948799985614,Decode,Chunking
37,47.62579199996253,Decode,Chunking
38,48.4023960000286,Decode,Chunking
39,49.106392000112464,Decode,Chunking
40,49.79587399998309,Decode,Chunking
