step,latency_ms,short_status,long_status
1,1577.0938149998983,Decode,Inactive
2,742.773777000366,Decode,Inactive
3,42.59506999915175,Decode,Inactive
4,1887.6186019997476,Decode,Chunking
5,68.21452399981354,Decode,Chunking
6,48.72757599969191,Decode,Chunking
7,58.36358799933805,Decode,Chunking
8,67.42057700012083,Decode,Chunking
9,39.67086500051664,Decode,Chunking
10,39.48380700057896,Decode,Chunking
11,40.46203100006096,Decode,Chunking
12,40.784251000332006,Decode,Chunking
13,44.63813999973354,Decode,Chunking
14,44.50071400060551,Decode,Chunking
15,53.132062000258884,Decode,Chunking
16,52.45915099931153,Decode,Chunking
17,48.089526000694605,Decode,Chunking
18,44.20526800004154,Decode,Chunking
19,41.72881599970424,Decode,Chunking
20,46.31848799999716,Decode,Chunking
21,43.69162200055143,Decode,Chunking
22,43.213055000705936,Decode,Chunking
23,42.50712500015652,Decode,Chunking
24,41.796630999670015,Decode,Chunking
25,41.00510700027371,Decode,Chunking
26,45.35004999979719,Decode,Chunking
27,41.93737500008865,Decode,Chunking
28,42.718380999758665,Decode,Chunking
29,44.9311319998742,Decode,Chunking
30,42.104242000277736,Decode,Chunking
31,41.917902999557555,Decode,Chunking
32,42.0556069993836,Decode,Chunking
33,41.42315700028121,Decode,Chunking
34,39.56067499984783,Decode,Chunking
35,60.80243199994584,Decode,Chunking
36,44.718773000568035,Decode,Chunking
37,41.419870000027004,Decode,Chunking
38,40.25407900007849,Decode,Chunking
39,40.779877999739256,Decode,Chunking
40,46.41380700013542,Decode,Chunking
